col_0,Partner,col_2,HS Code,Product,Year,UOM,April_Value,April_Qty,May_Value,May_Qty,June_Value,June_Qty,July_Value,July_Qty,August_Value,August_Qty,September_Value,September_Qty,October_Value,October_Qty,November_Value,November_Qty,December_Value,December_Qty,January_Value,January_Qty,February_Value,February_Qty,March_Value,March_Qty,Total_Value,Total_Qty,Total_Period/Period %  Change (Value),Total_Reporter Code,Total_Partner Code,Total_Product Code,Total_col,source_file
1,Argentina,1,0810500090,"KIWI FRUIT,NES",2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,31,"20,800.0",0,0.0,31,"20,800.0",0,0.0,0,0.0,,,,,,,62,"41,600.0",,US,AR,0810500090,,Standard_Query_07568.csv
1,Argentina,2,0810904620,"CACTUS PEARS, FR",2024-2024,KG,0,0.0,0,0.0,31,"15,785.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,31,"15,785.0",,US,AR,0810904620,,Standard_Query_07568.csv
1,Argentina,3,0810904660,"POMEGRANATES, FR",2023-2023,KG,154,"139,000.0","1,531","1,780,340.0","1,309","1,059,125.0",234,"221,110.0",13,"20,960.0",0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"3,239","3,220,535.0",,US,AR,0810904660,,Standard_Query_07568.csv
1,Argentina,3,0810904660,"POMEGRANATES, FR",2024-2024,KG,378,"573,320.0","2,067","1,834,504.0","1,049","977,154.0",28,"42,600.0",56,"85,200.0",0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"3,579","3,512,778.0",,US,AR,0810904660,,Standard_Query_07568.csv
1,Argentina,3,0810904660,"POMEGRANATES, FR",2025-2025,KG,38,"211,430.0",519,"755,190.0",74,"57,430.0",0,0.0,0,0.0,20,"21,760.0",0,0.0,0,0.0,0,0.0,,,,,,,651,"1,045,810.0",,US,AR,0810904660,,Standard_Query_07568.csv
1,Argentina,4,0810904680,"FRUITS, FRS, NES",2023-2023,KG,0,0.0,0,0.0,269,"223,330.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,269,"223,330.0",,US,AR,0810904680,,Standard_Query_07568.csv
2,Australia(*),1,0810904650,"LYCHEE, FRESH",2023-2023,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,97,"7,980.0",,,,,,,97,"7,980.0",,US,AS,0810904650,,Standard_Query_07568.csv
2,Australia(*),1,0810904650,"LYCHEE, FRESH",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,175,"77,492.0",,,,,,,175,"77,492.0",,US,AS,0810904650,,Standard_Query_07568.csv
2,Australia(*),1,0810904650,"LYCHEE, FRESH",2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,129,"9,310.0",,,,,,,129,"9,310.0",,US,AS,0810904650,,Standard_Query_07568.csv
3,Brazil,1,0810904680,"FRUITS, FRS, NES",2025-2025,KG,9,"1,308.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,9,"1,308.0",,US,BR,0810904680,,Standard_Query_07568.csv
4,Canada,1,0810904630,"DRAGON FRUIT, FR",2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,"1,197.0",0,0.0,0,0.0,0,0.0,,,,,,,4,"1,197.0",,US,CA,0810904630,,Standard_Query_07568.csv
5,China,1,0810904630,"DRAGON FRUIT, FR",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,"1,047.0",0,0.0,,,,,,,20,"1,047.0",,US,CH,0810904630,,Standard_Query_07568.csv
5,China,2,0810904650,"LYCHEE, FRESH",2023-2023,KG,0,0.0,39,"54,546.0",948,"942,001.0","1,181","1,623,826.0",459,"760,707.0",22,"43,092.0",0,0.0,0,0.0,0,0.0,,,,,,,"2,649","3,424,172.0",,US,CH,0810904650,,Standard_Query_07568.csv
